Date,TempMax,TempMin,Rain,AvgTempMax,AvgTempMin
2018-01-01,8,6,1,4,1
2018-01-02,9,4,5,4,1
2018-01-03,11,6,8,4,1
2018-01-04,11,7,1,4,1
2018-01-05,8,5,3,4,1
2018-01-06,7,2,0,4,1
2018-01-07,4,-1,0,4,1
2018-01-08,4,-1,0,4,1
2018-01-09,6,0,0,4,1
2018-01-10,7,5,0,4,1
2018-01-11,7,4,0,4,1
2018-01-12,6,4,0,4,1
2018-01-13,6,3,0,4,1
2018-01-14,5,1,0,4,1
2018-01-15,8,1,6,4,1
2018-01-16,7,3,4,4,1
2018-01-17,6,2,2,4,1
2018-01-18,10,3,4,4,1
2018-01-19,7,1,3,4,1
2018-01-20,4,-1,5,4,1
2018-01-21,7,1,3,4,1
2018-01-22,8,2,0,4,1
2018-01-23,11,3,2,4,1
2018-01-24,14,7,5,4,1
2018-01-25,9,4,0,4,1
2018-01-26,9,2,0,4,1
2018-01-27,8,1,0,4,1
2018-01-28,11,5,1,4,1
2018-01-29,11,3,0,4,1
2018-01-30,8,2,0,4,1
2018-01-31,10,2,1,4,1
2018-02-01,6,3,0,4,1
2018-02-02,8,-1,0,4,1
2018-02-03,5,-2,1,4,1
2018-02-04,4,0,0,4,1
2018-02-05,4,-2,0,4,1
2018-02-06,2,-5,0,4,1
2018-02-07,3,-6,0,4,1
2018-02-08,6,-3,0,4,1
2018-02-09,2,-1,0,4,1
2018-02-10,7,0,1,4,1
2018-02-11,7,3,2,4,1
2018-02-12,6,0,1,4,1
2018-02-13,6,-1,0,4,1
2018-02-14,6,-2,0,5,1
2018-02-15,10,0,1,5,1
2018-02-16,8,-2,0,5,1
2018-02-17,8,-3,0,5,1
2018-02-18,7,-3,0,5,1
2018-02-19,3,0,0,5,1
2018-02-20,5,-4,0,6,1
2018-02-21,5,-3,0,6,1
2018-02-22,5,-2,0,6,1
2018-02-23,3,-3,0,6,1
2018-02-24,4,-3,0,6,1
2018-02-25,1,-4,0,6,2
2018-02-26,1,-5,0,6,2
2018-02-27,1,-6,0,6,2
2018-02-28,-5,-9,0,6,2
2018-03-01,-1,-9,0,6,2
2018-03-02,0,-7,0,6,2
2018-03-03,1,-5,0,6,2
2018-03-04,11,-2,1,7,2
2018-03-05,12,3,0,7,2
2018-03-06,10,1,0,7,2
2018-03-07,11,1,0,7,2
2018-03-08,9,1,0,7,2
2018-03-09,10,1,1,7,2
2018-03-10,15,6,2,7,2
2018-03-11,12,6,2,7,2
2018-03-12,14,5,1,7,2
2018-03-13,9,4,1,7,2
2018-03-14,11,0,0,7,2
2018-03-15,10,3,0,7,2
2018-03-16,6,0,0,8,3
2018-03-17,1,-2,0,8,3
2018-03-18,3,-3,0,8,3
2018-03-19,4,-3,0,8,3
2018-03-20,8,-2,0,8,3
2018-03-21,9,-4,0,8,3
2018-03-22,10,2,2,8,3
2018-03-23,7,5,0,8,3
2018-03-24,10,3,0,8,3
2018-03-25,11,0,0,8,3
2018-03-26,12,-1,0,9,4
2018-03-27,10,1,0,9,4
2018-03-28,8,3,9,9,4
2018-03-29,11,2,1,9,4
2018-03-30,14,5,0,9,4
2018-03-31,11,3,0,9,4
