Date,TempMax,TempMin,Rain,AvgTempMax,AvgTempMin
2018-01-01,14,8,0 ,12,4
2018-01-02,13,7,0 ,12,4
2018-01-03,14,1,0 ,12,4
2018-01-04,16,6,0 ,12,4
2018-01-05,17,7,0 ,12,3
2018-01-06,17,9,0 ,12,3
2018-01-07,19,8,0 ,12,3
2018-01-08,20,14,0 ,12,3
2018-01-09,16,9,0 ,12,3
2018-01-10,14,6,0 ,12,3
2018-01-11,12,8,0 ,11,3
2018-01-12,13,6,0 ,11,3
2018-01-13,13,4,0 ,11,3
2018-01-14,12,4,0 ,11,3
2018-01-15,14,6,0 ,11,3
2018-01-16,13,8,0 ,11,3
2018-01-17,15,6,0 ,11,3
2018-01-18,13,1,0 ,11,2
2018-01-19,13,11,0 ,11,2
2018-01-20,14,6,0 ,11,2
2018-01-21,16,7,0 ,11,2
2018-01-22,14,3,0 ,11,2
2018-01-23,15,6,0 ,11,2
2018-01-24,15,4,0 ,11,2
2018-01-25,14,3,0 ,11,2
2018-01-26,14,5,0 ,11,2
2018-01-27,15,7,0 ,11,2
2018-01-28,15,4,0 ,11,2
2018-01-29,15,3,0 ,11,2
2018-01-30,14,3,0 ,11,3
2018-01-31,13,5,0 ,11,3
2018-02-01,14,10,0 ,11,3
2018-02-02,16,11,0 ,11,3
2018-02-03,11,7,0 ,11,3
2018-02-04,12,2,0 ,11,3
2018-02-05,13,7,0 ,11,3
2018-02-06,14,6,0 ,11,3
2018-02-07,13,6,0 ,11,3
2018-02-08,11,4,0 ,11,3
2018-02-09,13,4,0 ,11,3
2018-02-10,14,2,0 ,11,3
2018-02-11,11,2,0 ,11,3
2018-02-12,12,2,0 ,11,3
2018-02-13,11,2,0 ,11,3
2018-02-14,7,1,0 ,11,3
2018-02-15,10,0,0 ,11,3
2018-02-16,13,0,0 ,11,4
2018-02-17,13,4,0 ,11,4
2018-02-18,12,6,0 ,12,4
2018-02-19,12,4,0 ,12,4
2018-02-20,12,4,0 ,12,4
2018-02-21,11,3,0 ,12,4
2018-02-22,9,3,0 ,12,4
2018-02-23,10,7,0 ,12,4
2018-02-24,12,7,0 ,12,4
2018-02-25,11,2,0 ,12,4
2018-02-26,2,-5,0 ,13,4
2018-02-27,2,-5,0 ,13,5
2018-02-28,6,-6,0 ,13,5
2018-03-01,15,1,0 ,13,5
2018-03-02,16,7,0 ,13,5
2018-03-03,15,7,0 ,13,5
2018-03-04,14,7,0 ,13,5
2018-03-05,10,8,0 ,14,5
2018-03-06,12,8,0 ,14,5
2018-03-07,15,5,0 ,14,5
2018-03-08,15,3,0 ,14,6
2018-03-09,16,7,0 ,14,6
2018-03-10,17,7,0 ,14,6
2018-03-11,20,11,0 ,15,6
2018-03-12,16,10,0 ,15,6
2018-03-13,16,9,0 ,15,6
2018-03-14,16,5,0 ,15,6
2018-03-15,14,7,0 ,15,6
2018-03-16,17,12,0 ,15,6
2018-03-17,13,10,0 ,15,6
2018-03-18,14,8,0 ,15,6
2018-03-19,11,6,0 ,16,7
2018-03-20,12,5,0 ,16,7
2018-03-21,12,6,0 ,16,7
2018-03-22,12,2,0 ,16,7
2018-03-23,11,1,0 ,16,7
2018-03-24,12,1,0 ,16,7
2018-03-25,16,5,0 ,16,7
2018-03-26,16,5,0 ,16,7
2018-03-27,16,3,0 ,16,7
2018-03-28,17,7,0 ,17,7
2018-03-29,19,11,0 ,17,7
2018-03-30,20,13,0 ,17,7
2018-03-31,17,7,0 ,17,8
